05:666 [INFO]  | Loaded   | GLFW-Library | 
05:762 [INFO]  | Created  | GLFW-Window  | Liquefied (0.2.0-alpha)
05:764 [INFO]  | Loaded   | OpenGL       | NVIDIA GeForce RTX 4070/PCIe/SSE2, 4.5.0 NVIDIA 550.67
05:764 [ERROR] | Failed   | File-Load.   | ../Res/Shader/Liquefied/Grid_VS.glsl
05:764 [ERROR] | Failed   | File-Load.   | ../Res/Shader/Liquefied/Grid_FS.glsl
05:773 [ERROR] | Failed   | Shader-Comp. | Type: 35633, Error: (0) : error C0000: syntax error, unexpected $end, expecting "::" at token "<EOF>"

05:773 [ERROR] | Failed   | Shader-Comp. | Type: 35632, Error: (0) : error C0000: syntax error, unexpected $end, expecting "::" at token "<EOF>"

05:773 [ERROR] | GL_DEBUG | SEVERITY_HIGH | GL_INVALID_OPERATION error generated. <program> is not a program object, or <shader> is not a shader object.
05:773 [ERROR] | GL_LOG   | Error: 1282  | glAttachShader(programID, vsID)
05:773 [ERROR] | GL_LOG   | Line: 49     | /home/zang3th/Dev/SalinityGL/Engine/Rendering/Resources/Shader.cpp
